produto_descricao;produto_quantidade;produto_unidade_comercial;produto_valor_unitario_comercializacao;nota_data_emissao
A8;90;UN;7,7;20210319
A8;90;UN;8,48;20210521
A8;90;UN;8,48;20210702
A8;90;UN;8,48;20210921
A8;90;UN;8,48;20210422
A8;135;UN;8,48;20210529
A8;180;UN;8,48;20210714
A8;180;UN;8,48;20210814
A8;180;UN;8,48;20210927
B1;90;UN;8,14;20210220
B1;90;UN;8,14;20210319
B1;90;UN;8,96;20210521
B1;90;UN;8,96;20210714
B1;90;UN;8,96;20210831
B1;90;UN;8,96;20210918
B1;90;UN;8,96;20210928
B1;90;UN;8,96;20210422
B4;25;UN;4,96;20210917
B4;90;UN;4,5;20210319
B4;135;UN;4,96;20210702
B2;8;UN;11,42;20210918
A8;270;UN;7,93;20210422
A8;360;UN;7,2;20210316
A8;1350;UN;7,2;20210228
B0;120;UN;27,2;20210228
B0;1620;UN;27,2;20210228
B0;1860;UN;27,2;20210228
B0;2280;UN;27,2;20210316
B1;45;UN;7,62;20210220
B1;45;UN;7,62;20210322
B2;9;UN;9,7;20210220
B2;48;UN;9,7;20210220
B2;72;UN;9,7;20210322
B2;120;UN;9,7;20210316
B2;120;UN;9,7;20210318
B3;48;UN;19,38;20210129
B3;48;UN;19,38;20210318
B3;168;UN;19,38;20210322
B3;240;UN;19,38;20210316
B3;264;UN;21,33;20210422
B3;528;UN;19,38;20210228
A8;27;UN;7,93;20210622
A8;90;UN;7,93;20210621
A8;225;UN;7,93;20210806
A8;405;UN;7,93;20210911
A8;405;UN;7,93;20210720
A8;495;UN;7,93;20210913
A8;540;UN;7,93;20210723
A8;540;UN;7,93;20210817
A8;1395;UN;7,93;20210922
A9;2;UN;136,14;20210919
B0;180;UN;29,94;20210723
B0;240;UN;29,94;20210621
B1;13;UN;8,38;20210913
B1;45;UN;8,38;20210908
B1;45;UN;8,38;20210621
B1;90;UN;8,38;20210723
B1;90;UN;8,38;20210720
B1;90;UN;8,38;20210919
B2;20;UN;10,68;20210611
B2;24;UN;10,68;20210919
B2;48;UN;10,68;20210608
B2;48;UN;10,68;20210522
B2;168;UN;10,68;20210723
B2;168;UN;10,68;20210621
B3;24;UN;21,33;20210508
B3;48;UN;21,33;20210913
B3;144;UN;21,33;20210919
B3;216;UN;21,33;20210723
B3;240;UN;21,33;20210911
B3;312;UN;21,33;20210720
B0;480;UN;3,36;20210330
B0;240;UN;27,2;20210301
B0;240;UN;27,2;20210301
A8;45;UN;7,75;20210312
A8;45;UN;8,54;20210422
A8;90;UN;8,54;20210811
A8;135;UN;7,75;20210318
A8;135;UN;8,54;20210422
B0;120;UN;32,24;20210927
B0;13491;UN;29,29;20210318
B1;135;UN;8,2;20210318
B1;135;UN;9,02;20210422
B1;225;UN;9,02;20210511
B1;270;UN;9,02;20210422
B1;315;UN;9,02;20210521
B1;3600;UN;9,02;20210702
B4;180;UN;4,99;20210422
B4;270;UN;4,99;20210511
B4;360;UN;4,99;20210422
B4;630;UN;4,53;20210129
B2;24;UN;11,5;20210511
B2;48;UN;10,44;20210318
B2;72;UN;11,5;20210422
B2;144;UN;11,5;20210707
B2;216;UN;11,5;20210805
B2;264;UN;11,5;20210818
B2;408;UN;11,5;20210730
B2;432;UN;11,5;20210811
B2;552;UN;11,5;20210702
B3;168;UN;22,97;20210521
B3;264;UN;20,87;20210312
B3;408;UN;22,97;20210529
B3;600;UN;20,87;20210318
B3;1320;UN;22,97;20210616
B0;480;UN;3,65;20210329
B0;1260;UN;3,25;20210827
B0;1380;UN;3,65;20210329
B0;1380;UN;3,65;20210330
B0;240;UN;32,47;20210429
B0;540;UN;32,47;20210805
B0;1260;UN;32,47;20210614
B0;180;UN;3,2;20210827
B0;1080;UN;3,6;20210329
B0;1140;UN;3,6;20210329
B0;2220;UN;3,6;20210329
B0;240;UN;3,65;20210329
B0;240;UN;3,65;20210330
B0;480;UN;3,65;20210330
B0;60;UN;32,47;20210708
B0;60;UN;32,47;20210722
B0;120;UN;32,47;20210805
B0;240;UN;32,47;20210819
A8;45;UN;8,6;20210830
A8;45;UN;8,6;20210910
A8;45;UN;8,6;20210922
A8;180;UN;8,6;20210726
A8;450;UN;8,6;20210711
A8;675;UN;8,6;20210817
A8;1080;UN;8,6;20210921
A9;2;UN;147,63;20210920
B0;30;UN;32,47;20210609
B0;60;UN;32,47;20210609
B0;60;UN;32,47;20210920
B0;180;UN;29,5;20210228
B0;180;UN;29,5;20210327
B0;180;UN;32,47;20210719
B0;300;UN;32,47;20210512
B0;360;UN;29,5;20210228
B0;420;UN;32,47;20210521
B0;480;UN;29,5;20210228
B0;480;UN;32,47;20210726
B0;720;UN;29,5;20210310
B0;960;UN;32,47;20210623
B1;6;UN;9,09;20210520
B1;9;UN;9,09;20210609
B1;43;UN;9,09;20210609
B1;45;UN;8,26;20210220
B1;45;UN;8,26;20210310
B1;45;UN;8,26;20210319
B1;45;UN;8,26;20210227
B1;45;UN;9,09;20210508
B1;45;UN;9,09;20210512
B1;45;UN;9,09;20210609
B1;45;UN;9,09;20210908
B1;45;UN;9,09;20210521
B1;45;UN;9,09;20210719
B1;90;UN;9,09;20210913
B1;135;UN;9,09;20210908
B1;225;UN;9,09;20210726
B1;225;UN;9,09;20210623
B1;270;UN;9,09;20210919
B4;2;UN;5,02;20210609
B4;4;UN;5,02;20210830
B4;12;UN;5,02;20210910
B4;14;UN;5,02;20210609
B4;19;UN;5,02;20210521
B4;45;UN;4,56;20210310
B4;45;UN;4,56;20210318
B4;45;UN;4,56;20210319
B4;45;UN;4,56;20210327
B4;45;UN;5,02;20210908
B4;90;UN;4,56;20210220
B4;90;UN;4,56;20210227
B4;90;UN;5,02;20210913
B4;90;UN;5,02;20210920
B4;135;UN;5,02;20210623
B2;48;UN;10,51;20210220
B2;48;UN;10,51;20210318
B2;48;UN;11,58;20210721
B2;168;UN;10,51;20210227
B2;216;UN;10,51;20210319
B2;264;UN;10,51;20210310
B2;288;UN;10,51;20210218
B2;288;UN;11,58;20210726
B2;384;UN;11,58;20210623
B3;24;UN;23,13;20210609
B3;24;UN;23,13;20210711
B3;24;UN;23,13;20210910
B3;96;UN;21,01;20210327
B3;120;UN;21,01;20210310
B3;120;UN;21,01;20210318
B3;120;UN;23,13;20210512
B3;120;UN;23,13;20210609
B3;144;UN;21,01;20210319
B3;144;UN;23,13;20210920
B3;168;UN;23,13;20210908
B3;192;UN;23,13;20210726
B3;192;UN;23,13;20210521
B3;288;UN;21,01;20210227
B3;720;UN;23,13;20210719
B0;60;UN;29,09;20210327
B0;240;UN;29,09;20210321
B0;360;UN;29,09;20210316
B2;24;UN;10,37;20210323
B2;24;UN;10,37;20210327
B2;72;UN;10,37;20210316
B3;24;UN;20,72;20210323
B3;96;UN;20,72;20210316
A8;4;UN;8,48;20210903
A8;45;UN;8,48;20210622
A8;45;UN;8,48;20210903
A8;45;UN;8,48;20210916
A8;45;UN;8,48;20210717
A8;90;UN;8,48;20210727
A8;90;UN;8,48;20210817
A8;90;UN;8,48;20210922
A8;90;UN;8,48;20210621
B0;6;UN;32,02;20210910
B0;60;UN;32,02;20210910
B0;60;UN;32,02;20210717
B0;60;UN;32,02;20210920
B0;180;UN;29,09;20210303
B0;180;UN;29,09;20210303
B0;180;UN;29,09;20210303
B0;300;UN;32,02;20210727
B2;24;UN;10,37;20210220
B2;24;UN;11,42;20210910
B2;24;UN;11,42;20210910
B2;48;UN;10,37;20210227
B2;48;UN;11,42;20210721
B2;144;UN;11,42;20210727
B2;240;UN;11,42;20210621
B3;9;UN;22,81;20210910
B3;24;UN;22,81;20210903
B3;24;UN;22,81;20210903
B3;24;UN;22,81;20210910
B3;48;UN;22,81;20210727
B3;72;UN;22,81;20210708
B3;120;UN;22,81;20210717
B3;168;UN;20,72;20210227
B0;2;UN;32,47;20210611
B0;2;UN;32,47;20210908
B0;11;UN;32,47;20210911
B0;41;UN;32,47;20210621
B0;60;UN;29,5;20210228
B0;60;UN;29,5;20210228
B0;60;UN;29,5;20210303
B0;60;UN;29,5;20210321
B0;60;UN;32,47;20210708
B0;60;UN;32,47;20210726
B0;60;UN;32,47;20210923
B0;60;UN;32,47;20210930
B0;60;UN;32,47;20210719
B0;180;UN;29,5;20210311
B2;4;UN;11,58;20210621
B3;24;UN;21,01;20210311
B3;24;UN;21,01;20210323
B3;24;UN;23,13;20210731
B3;48;UN;21,01;20210317
A8;45;UN;7,81;20210312
B1;45;UN;8,2;20210129
B1;90;UN;8,2;20210214
B1;90;UN;8,26;20210312
B3;48;UN;21,01;20210312
A8;9;UN;8,6;20210804
A8;45;UN;8,6;20210609
A8;45;UN;8,6;20210521
A8;90;UN;7,81;20210308
A8;90;UN;8,6;20210609
A8;90;UN;8,6;20210816
A8;180;UN;7,81;20210318
A8;180;UN;8,6;20210830
A8;315;UN;8,6;20210621
A8;360;UN;8,6;20210827
A8;360;UN;8,6;20210716
A8;990;UN;8,6;20210921
A9;1;UN;147,63;20210910
B0;60;UN;29,5;20210228
B0;120;UN;32,47;20210726
B0;120;UN;32,47;20210730
B0;120;UN;32,47;20210816
B0;120;UN;32,47;20210910
B0;180;UN;29,5;20210301
B0;240;UN;32,47;20210707
B0;240;UN;32,47;20210830
B0;300;UN;32,47;20210830
B0;360;UN;32,47;20210716
B0;480;UN;29,5;20210228
B0;480;UN;32,47;20210918
B0;600;UN;29,5;20210321
B0;780;UN;32,47;20210521
B0;840;UN;29,5;20210308
B0;840;UN;29,5;20210318
B1;3;UN;9,09;20210908
B1;4;UN;9,09;20210910
B1;13;UN;9,09;20210918
B1;45;UN;9,09;20210730
B1;45;UN;9,09;20210902
B1;45;UN;9,09;20210923
B1;45;UN;9,09;20210621
B4;5;UN;5,02;20210825
B4;45;UN;5,02;20210707
B4;45;UN;5,02;20210716
B2;6;UN;11,58;20210804
B2;24;UN;10,51;20210218
B2;24;UN;11,58;20210805
B2;24;UN;11,58;20210827
B2;48;UN;10,51;20210220
B2;48;UN;11,58;20210609
B2;72;UN;11,58;20210910
B2;96;UN;11,58;20210830
B2;96;UN;11,58;20210918
B2;120;UN;10,51;20210308
B2;120;UN;10,51;20210227
B2;144;UN;10,51;20210318
B2;192;UN;11,58;20210609
B2;216;UN;11,58;20210721
B2;264;UN;11,58;20210621
B3;6;UN;23,13;20210804
B3;24;UN;23,13;20210902
B3;24;UN;23,13;20210910
B3;24;UN;23,13;20210716
B3;48;UN;23,13;20210816
B3;72;UN;23,13;20210903
B3;72;UN;23,13;20210918
B3;96;UN;23,13;20210726
B3;96;UN;23,13;20210910
B3;144;UN;21,01;20210308
B3;216;UN;23,13;20210630
B3;312;UN;21,01;20210227
B3;384;UN;21,01;20210318
A8;1;UN;8,48;20210609
A8;4;UN;8,48;20210610
A8;4;UN;8,48;20210708
A8;39;UN;8,48;20210608
A8;45;UN;7,7;20210311
A8;45;UN;7,7;20210311
A8;45;UN;7,7;20210317
A8;45;UN;7,7;20210326
A8;45;UN;7,7;20210326
A8;45;UN;7,7;20210328
A8;45;UN;7,7;20210228
A8;45;UN;8,48;20210610
A8;45;UN;8,48;20210707
A8;45;UN;8,48;20210806
A8;45;UN;8,48;20210820
A8;45;UN;8,48;20210422
A8;45;UN;8,48;20210522
A8;45;UN;8,48;20210522
A8;90;UN;7,7;20210311
A8;90;UN;7,7;20210312
A8;90;UN;7,7;20210322
A8;90;UN;7,7;20210322
A8;90;UN;7,7;20210329
A8;90;UN;8,48;20210713
A8;90;UN;8,48;20210827
A8;90;UN;8,48;20210908
A8;90;UN;8,48;20210909
A8;90;UN;8,48;20210522
A8;90;UN;8,48;20210716
A8;90;UN;8,48;20210422
A8;135;UN;7,7;20210228
A8;135;UN;8,48;20210609
A8;135;UN;8,48;20210819
A8;135;UN;8,48;20210820
A8;135;UN;8,48;20210908
A8;135;UN;8,48;20210922
A8;135;UN;8,48;20210922
A8;180;UN;8,48;20210816
A8;180;UN;8,48;20210922
A8;225;UN;7,7;20210228
A8;225;UN;8,48;20210724
A8;225;UN;8,48;20210828
A8;270;UN;7,7;20210228
A8;270;UN;8,48;20210619
A8;270;UN;8,48;20210717
A8;315;UN;8,48;20210724
A8;315;UN;8,48;20210724
A8;315;UN;8,48;20210818
A8;315;UN;8,48;20210619
A8;405;UN;8,48;20210726
A8;405;UN;8,48;20210817
A8;450;UN;8,48;20210922
A8;495;UN;7,7;20210311
A8;495;UN;8,48;20210707
A8;540;UN;8,48;20210621
A8;540;UN;8,48;20210716
A8;540;UN;8,48;20210922
A8;630;UN;8,48;20210830
A8;765;UN;7,7;20210326
A8;765;UN;7,7;20210228
A8;900;UN;8,48;20210621
A8;1170;UN;8,48;20210921
A8;1170;UN;8,48;20210922
A8;1575;UN;8,48;20210716
A8;1890;UN;7,7;20210317
A9;1;UN;145,58;20210827
A9;1;UN;145,58;20210910
A9;2;UN;145,58;20210804
A9;3;UN;145,58;20210820
A9;3;UN;145,58;20210828
A9;4;UN;145,58;20210923
A9;5;UN;145,58;20210816
A9;5;UN;145,58;20210908
A9;5;UN;145,58;20210508
A9;5;UN;145,58;20210522
A9;5;UN;145,58;20210528
A9;5;UN;145,58;20210918
A9;10;UN;132,25;20210326
A9;10;UN;145,58;20210724
A9;10;UN;145,58;20210830
A9;15;UN;132,25;20210311
A9;15;UN;145,58;20210619
A9;45;UN;145,58;20210621
A9;70;UN;132,25;20210228
B0;22;UN;32,02;20210508
B0;60;UN;29,09;20210228
B0;60;UN;29,09;20210228
B0;60;UN;29,09;20210322
B0;60;UN;29,09;20210228
B0;120;UN;29,09;20210228
B0;120;UN;29,09;20210311
B0;120;UN;32,02;20210609
B0;120;UN;32,02;20210713
B0;120;UN;32,02;20210716
B0;120;UN;32,02;20210920
B0;180;UN;29,09;20210301
B0;180;UN;29,09;20210329
B0;180;UN;32,02;20210508
B0;180;UN;32,02;20210528
B0;180;UN;32,02;20210819
B0;180;UN;32,02;20210923
B0;180;UN;32,02;20210716
B0;240;UN;32,02;20210528
B0;240;UN;32,02;20210622
B0;240;UN;32,02;20210920
B0;300;UN;32,02;20210610
B0;300;UN;32,02;20210522
B0;300;UN;32,02;20210716
B0;360;UN;32,02;20210726
B0;360;UN;32,02;20210621
B0;420;UN;32,02;20210724
B0;420;UN;32,02;20210731
B0;480;UN;29,09;20210228
B0;480;UN;32,02;20210816
B0;480;UN;32,02;20210619
B0;480;UN;32,02;20210717
B0;600;UN;32,02;20210908
B0;600;UN;32,02;20210918
B0;660;UN;29,09;20210301
B0;660;UN;29,09;20210317
B0;720;UN;29,09;20210228
B0;720;UN;29,09;20210322
B0;780;UN;29,09;20210301
B0;840;UN;29,09;20210301
B0;840;UN;29,09;20210317
B0;840;UN;29,09;20210322
B0;960;UN;29,09;20210311
B0;1080;UN;29,09;20210228
B0;1140;UN;29,09;20210312
B0;1140;UN;32,02;20210508
B0;1140;UN;32,02;20210724
B0;1140;UN;32,02;20210724
B0;1200;UN;29,09;20210311
B0;1320;UN;29,09;20210301
B0;1320;UN;32,02;20210608
B0;1380;UN;29,09;20210228
B0;1800;UN;32,02;20210619
B0;2580;UN;29,09;20210301
B0;2640;UN;32,02;20210830
B0;2700;UN;29,09;20210322
B0;3900;UN;29,09;20210306
B0;4500;UN;29,09;20210311
B0;4920;UN;32,02;20210522
B0;6300;UN;32,02;20210619
B1;3;UN;8,96;20210916
B1;9;UN;8,96;20210908
B1;10;UN;8,14;20210130
B1;11;UN;8,96;20210908
B1;12;UN;8,96;20210804
B1;19;UN;8,14;20210130
B1;27;UN;8,96;20210804
B1;27;UN;8,96;20210908
B1;45;UN;8,14;20210220
B1;45;UN;8,14;20210220
B1;45;UN;8,14;20210311
B1;45;UN;8,14;20210322
B1;45;UN;8,14;20210329
B1;45;UN;8,14;20210228
B1;45;UN;8,96;20210508
B1;45;UN;8,96;20210609
B1;45;UN;8,96;20210622
B1;45;UN;8,96;20210708
B1;45;UN;8,96;20210713
B1;45;UN;8,96;20210908
B1;45;UN;8,96;20210916
B1;45;UN;8,96;20210619
B1;45;UN;8,96;20210621
B1;45;UN;8,96;20210716
B1;45;UN;8,96;20210918
B1;45;UN;8,96;20210919
B1;90;UN;8,14;20210311
B1;90;UN;8,14;20210312
B1;90;UN;8,14;20210326
B1;90;UN;8,14;20210326
B1;90;UN;8,14;20210228
B1;90;UN;8,14;20210228
B1;90;UN;8,96;20210528
B1;90;UN;8,96;20210724
B1;90;UN;8,96;20210726
B1;90;UN;8,96;20210916
B1;90;UN;8,96;20210525
B1;135;UN;8,14;20210311
B1;135;UN;8,14;20210317
B1;135;UN;8,96;20210809
B1;135;UN;8,96;20210908
B1;135;UN;8,96;20210717
B1;180;UN;8,14;20210131
B1;180;UN;8,14;20210220
B1;180;UN;8,96;20210724
B1;180;UN;8,96;20210923
B1;180;UN;8,96;20210716
B1;180;UN;8,96;20210919
B1;225;UN;8,96;20210707
B1;225;UN;8,96;20210908
B1;225;UN;8,96;20210621
B1;270;UN;8,14;20210326
B1;270;UN;8,14;20210228
B1;270;UN;8,96;20210619
B1;315;UN;8,14;20210311
B1;315;UN;8,96;20210908
B1;360;UN;8,96;20210908
B1;585;UN;8,96;20210918
B1;900;UN;8,96;20210716
B4;2;UN;4,5;20210130
B4;3;UN;4,96;20210422
B4;7;UN;4,96;20210608
B4;7;UN;4,96;20210608
B4;15;UN;4,96;20210508
B4;26;UN;4,5;20210131
B4;45;UN;4,5;20210220
B4;45;UN;4,5;20210220
B4;45;UN;4,5;20210322
B4;45;UN;4,5;20210326
B4;45;UN;4,5;20210228
B4;45;UN;4,96;20210610
B4;45;UN;4,96;20210707
B4;45;UN;4,96;20210908
B4;45;UN;4,96;20210619
B4;45;UN;4,96;20210522
B4;45;UN;4,96;20210721
B4;90;UN;4,5;20210311
B4;90;UN;4,5;20210312
B4;90;UN;4,5;20210326
B4;90;UN;4,96;20210508
B4;135;UN;4,5;20210220
B4;135;UN;4,5;20210228
B4;135;UN;4,96;20210827
B4;135;UN;4,96;20210621
B4;180;UN;4,5;20210317
B4;180;UN;4,96;20210621
B4;180;UN;4,96;20210918
B2;1;UN;11,42;20210610
B2;2;UN;11,42;20210804
B2;2;UN;11,42;20210923
B2;3;UN;11,42;20210508
B2;6;UN;11,42;20210806
B2;7;UN;11,42;20210508
B2;9;UN;11,42;20210610
B2;11;UN;11,42;20210609
B2;14;UN;11,42;20210819
B2;20;UN;11,42;20210820
B2;24;UN;10,37;20210220
B2;24;UN;10,37;20210220
B2;24;UN;10,37;20210220
B2;24;UN;10,37;20210329
B2;24;UN;11,42;20210610
B2;24;UN;11,42;20210708
B2;24;UN;11,42;20210731
B2;24;UN;11,42;20210923
B2;24;UN;11,42;20210721
B2;48;UN;10,37;20210130
B2;48;UN;10,37;20210130
B2;48;UN;10,37;20210220
B2;48;UN;10,37;20210220
B2;48;UN;10,37;20210223
B2;48;UN;10,37;20210311
B2;48;UN;10,37;20210326
B2;48;UN;10,37;20210329
B2;48;UN;10,37;20210228
B2;48;UN;11,42;20210528
B2;48;UN;11,42;20210809
B2;48;UN;11,42;20210919
B2;48;UN;11,42;20210919
B2;72;UN;10,37;20210220
B2;72;UN;10,37;20210220
B2;72;UN;10,37;20210311
B2;72;UN;10,37;20210312
B2;72;UN;10,37;20210326
B2;72;UN;10,37;20210228
B2;72;UN;10,37;20210228
B2;72;UN;11,42;20210609
B2;72;UN;11,42;20210713
B2;72;UN;11,42;20210724
B2;72;UN;11,42;20210819
B2;72;UN;11,42;20210830
B2;72;UN;11,42;20210721
B2;96;UN;10,37;20210311
B2;96;UN;10,37;20210322
B2;96;UN;11,42;20210508
B2;96;UN;11,42;20210816
B2;96;UN;11,42;20210817
B2;96;UN;11,42;20210522
B2;120;UN;10,37;20210228
B2;120;UN;11,42;20210619
B2;120;UN;11,42;20210619
B2;144;UN;10,37;20210322
B2;144;UN;11,42;20210910
B2;168;UN;11,42;20210726
B2;168;UN;11,42;20210910
B2;168;UN;11,42;20210721
B2;168;UN;11,42;20210721
B2;240;UN;10,37;20210220
B2;264;UN;11,42;20210816
B2;264;UN;11,42;20210830
B2;288;UN;10,37;20210131
B2;288;UN;10,37;20210317
B2;312;UN;11,42;20210724
B2;336;UN;11,42;20210522
B2;360;UN;11,42;20210918
B2;384;UN;10,37;20210311
B2;504;UN;10,37;20210326
B2;552;UN;11,42;20210619
B2;576;UN;10,37;20210228
B2;936;UN;11,42;20210621
B2;984;UN;11,42;20210913
B3;3;UN;22,81;20210820
B3;9;UN;22,81;20210610
B3;14;UN;22,81;20210610
B3;24;UN;20,72;20210329
B3;24;UN;22,81;20210508
B3;24;UN;22,81;20210508
B3;24;UN;22,81;20210609
B3;24;UN;22,81;20210713
B3;24;UN;22,81;20210914
B3;24;UN;22,81;20210522
B3;24;UN;22,81;20210920
B3;48;UN;20,72;20210317
B3;48;UN;20,72;20210326
B3;48;UN;22,81;20210707
B3;48;UN;22,81;20210724
B3;72;UN;20,72;20210130
B3;72;UN;20,72;20210312
B3;72;UN;20,72;20210317
B3;72;UN;20,72;20210322
B3;72;UN;20,72;20210326
B3;72;UN;22,81;20210528
B3;72;UN;22,81;20210609
B3;72;UN;22,81;20210919
B3;96;UN;20,72;20210311
B3;96;UN;20,72;20210311
B3;96;UN;20,72;20210322
B3;96;UN;20,72;20210228
B3;96;UN;22,81;20210707
B3;96;UN;22,81;20210522
B3;120;UN;20,72;20210311
B3;120;UN;22,81;20210717
B3;120;UN;22,81;20210422
B3;144;UN;20,72;20210228
B3;144;UN;22,81;20210724
B3;144;UN;22,81;20210726
B3;144;UN;22,81;20210910
B3;144;UN;22,81;20210716
B3;168;UN;20,72;20210130
B3;168;UN;20,72;20210228
B3;216;UN;22,81;20210522
B3;312;UN;20,72;20210228
B3;504;UN;22,81;20210724
B3;552;UN;20,72;20210326
B3;552;UN;22,81;20210716
B3;600;UN;22,81;20210908
B3;672;UN;20,72;20210131
B3;696;UN;20,72;20210311
B3;792;UN;22,81;20210918
B3;1608;UN;22,81;20210716
B3;1944;UN;20,72;20210228
A8;45;UN;8,48;20210728
B0;60;UN;32,02;20210925
B0;240;UN;32,02;20210714
B0;300;UN;32,02;20210616
